project                 , domain      , t0          , ts         , o0       , ohcov0                   , ohcov1                , dyncov                   , ch      , vars , s1 , s2                      , s3                      , s4                      , s5                      , t1         , o1         , t2         , o2         , t3         , o3         , t4         , o4         , t5         , o5
tramp3d-v4              , LNT (MSB)   , 0.338097    , 0.003598   , 0.003728 , 1.102642141160672825     , 97.134061327848319222 , 1.076056691858395964     , 818     , 959  , 1  , -1.0545453427378441     , -1.0636557063529643     , -1.00007071831358345068 , -1.0203730237306063     , 11.348254  , 11.02302   , 11.966195  , 11.623221  , 11.686207  , 11.34027   , 11.759578  , 11.434321  , 11.589122  , 11.257262
beamformer              , LNT (MSB)   , 0.895737    , 0.003626   , 0.002433 , 0.271619906289457731     , 21.942131169594630704 , 0.405908850738382454     , 725     , 3    , 1  , 1.00655991312065796368  , 1.0019953611106839937   , -1.0051313347844769     , -1.00101989262797055532 , 1.085282   , 0.238134   , 1.078924   , 0.237297   , 1.07695    , 0.231489   , 1.089268   , 0.237773   , 1.068993   , 0.220981
consumer-typeset        , LNT (MSB)   , 0.160834    , 0.000292   , 0.002699 , 1.678127759055921012     , 68.680323046478044606 , 0.184652354001327979     , 21      , 17   , 1  , 1.00711327582174158308  , 1.1223760675897389      , 1.1279625234998613      , -1.01057405940053006913 , 0.467425   , 0.321029   , 0.464548   , 0.319186   , 0.432223   , 0.301789   , 0.402659   , 0.272871   , 0.476823   , 0.328879
enc-3des                , LNT (MSB)   , 1.59875     , 0.0009     , 0.001705 , 0.106645817044566067     , 10.127211322317095112 , 0.056354078939541466     , 597     , 3    , 1  , -1.0360606391337198     , -1.0386227456447506     , -1.0406379397986374     , -1.0403792568866034     , 1.845276   , 0.186875   , 1.916147   , 0.197943   , 1.921312   , 0.198859   , 1.922543   , 0.196748   , 1.917061   , 0.191695
telecomm-fft            , LNT (MSB)   , 0.082936    , 0.000002   , 0.000516 , 0.622166489823478345     , 26.468828974324465778 , 0.0024265954865323950497 , 0       , 1    , 1  , -1.0298032436829529     , -1.0544409985255987     , 1.0624426078971533517   , -1.0353449590726524     , 0.133746   , 0.035401   , 0.138064   , 0.036788   , 0.141156   , 0.037457   , 0.129453   , 0.036888   , 0.138995   , 0.037174
adi                     , Polybench   , 115.056277  , 115.006605 , 0.002277 , 0.0019790315308047035104 , 1.2108625651737996    , 99.958806299650598849    , 0       , 1    , 1  , 1.4628873824026147      , 1.8967418668609064      , 2.2872153169032216      , 2.6577039026270543      , 60.699622  , 0.734989   , 42.149427  , 1.158826   , 32.418162  , 0.803616   , 26.944776  , 0.727466   , 23.563744  , 1.001173
cholesky                , Polybench   , 228.60588   , 228.502016 , 0.008143 , 0.0035620256136893766687 , 1.8046038730561944    , 99.958126882069703078    , 3998    , 2    , 1  , -1.0816771798358472     , 1.2210348560523072      , 1.258806577071099       , 1.3112451598726147      , 45.685317  , 0.824439   , 49.826693  , 1.301705   , 37.935585  , 1.195538   , 36.416555  , 0.778929   , 35.42339   , 1.210964
ludcmp                  , Polybench   , 278.408107  , 278.288175 , 0.001738 , 0.0006242634306622400188 , 1.13306156622725705   , 99.95754622984217721     , 0       , 2    , 1  , -1.0475805622990461     , 1.1199013840521392      , 1.1369740773741734      , 1.1583120334474669      , 78.121792  , 0.885168   , 82.28319   , 1.371604   , 70.224457  , 1.257113   , 68.772323  , 0.840586   , 67.954381  , 1.274055
floyd-warshall          , Polybench   , 177.1706    , 176.895858 , 0.000734 , 0.0004142899555569603535 , 0.019741711525635987  , 99.845341645175709508    , 0       , 1    , 1  , -1.0000164239425762455  , -1.00044325945970007554 , 1.00059083168428639058  , 1.00046222393944398703  , 192.561825 , 0.038015   , 192.564395 , 0.037423   , 192.646978 , 0.03783    , 192.446312 , 0.036184   , 192.472057 , 0.037195
covariance              , Polybench   , 44.707062   , 44.621415  , 0.001436 , 0.0032120205080799091651 , 47.907304094113603714 , 99.81163220933311615     , 0       , 1    , 1  , 1.3319037419496569      , 1.633447133042599       , 2.0549833563976925      , 2.3528069268016142      , 7.728022   , 3.702287   , 6.802996   , 3.780454   , 8.671276   , 6.206712   , 5.677736   , 3.718725   , 5.790607   , 4.079572
correlation             , Polybench   , 44.683672   , 44.569944  , 0.001426 , 0.0031913223246290054228 , 0.764224570277681242  , 99.748665275241535531    , 0       , 2    , 1  , 1.357119687091022       , 1.7129523734342116      , 2.0794827752248752      , 2.4627246734381348      , 35.510897  , 0.271383   , 26.33666   , 0.370259   , 20.895669  , 0.323285   , 17.207182  , 0.260894   , 14.603914  , 0.294757
2mm                     , Polybench   , 31.182145   , 31.095073  , 0.000874 , 0.0028028860747071761741 , 1.282842138782189916  , 99.72355841428016196     , 0       , 1    , 1  , 1.5097350223398011      , 2.0252664674233112      , 2.5358789600391001      , 3.0611473703921471      , 12.304086  , 0.157842   , 8.201224   , 0.155942   , 6.154779   , 0.157423   , 4.919258   , 0.129501   , 4.124899   , 0.157026
heat-3d                 , Polybench   , 32.137223   , 32.044792  , 0.001754 , 0.0054578455643164936809 , 7.530236413737979571  , 99.717828919814426857    , 0       , 1    , 1  , 1.0004829592024261      , -1.0003340813671768     , 1.0019340275149149      , 1.1749996765253077      , 67.369266  , 5.073065   , 67.23427   , 4.968141   , 67.282033  , 4.96502    , 67.139991  , 4.96404    , 58.182569  , 5.164511
syr2k                   , Polybench   , 37.115931   , 36.963077  , 0.000924 , 0.0024894970302644435889 , 1.29800915750278147   , 99.59065075752242213     , 0       , 1    , 1  , 1.3452911838072401      , 1.7111740181781582      , 2.03187525517931        , 2.3975123163000959      , 9.766418   , 0.126769   , 7.293461   , 0.127987   , 5.755407   , 0.122053   , 4.871507   , 0.127294   , 4.148579   , 0.127891
syrk                    , Polybench   , 15.800426   , 15.723949  , 0.000766 , 0.0048479705547179550729 , 2.066202572671574946  , 99.520806143929679499    , 0       , 1    , 1  , 1.3488036146309542      , 1.6980518952799652      , 2.0427025259644494      , 2.3819789586752503      , 5.760471   , 0.119023   , 4.302964   , 0.120407   , 3.441709   , 0.119403   , 2.882587   , 0.12083    , 2.488456   , 0.120069
symm                    , Polybench   , 24.236358   , 24.112442  , 0.001026 , 0.0042333093115723080176 , 0.669844831603829427  , 99.492930404254416651    , 0       , 1    , 1  , -1.0042470485312932     , -1.0005283596264134     , -1.0010185569177179     , 1.00009017188901006406  , 24.006306  , 0.160805   , 24.09047   , 0.143696   , 24.019581  , 0.161481   , 24.032129  , 0.16234    , 24.004014  , 0.160663
trmm                    , Polybench   , 15.446841   , 15.366221  , 0.001067 , 0.0069075612288622638117 , 2.581439208241232818  , 99.484952971602459029    , 0       , 1    , 1  , 1.5028253767974535      , 1.9636431345282189      , 2.465790585853148       , 2.934254122793237       , 5.905233   , 0.15244    , 3.981725   , 0.15374    , 3.083294   , 0.153641   , 2.485972   , 0.15293    , 2.115063   , 0.154499
jacobi-2d               , Polybench   , 23.51939    , 23.382768  , 0.001094 , 0.0046514811821224955239 , 3.493324906186351345  , 99.423733760303042363    , 0       , 1    , 1  , 1.4513855924882993      , 1.8867537459547725      , 2.2160542956227625      , 2.3465452574727039      , 28.283198  , 0.988024   , 19.776942  , 0.970655   , 15.455172  , 0.988433   , 13.285636  , 0.968621   , 12.605503  , 0.973435
durbin                  , Polybench   , 0.033686    , 0.031753   , 0.001746 , 5.183162144511072849     , 76.236375548452421132 , 99.414527238572323106    , 0       , 1    , 1  , -1.00678808638623167217 , -1.00286143949204227411 , 1.00073155947578538135  , 1.00484815413352362163  , 0.201476   , 0.153598   , 0.207672   , 0.159469   , 0.207445   , 0.15943    , 0.180669   , 0.132826   , 0.205185   , 0.157538
